bin,head,condition,ref_score,score,delta
16k,16-14,y2_rpe_cur_L16k,0.344099,0.253329,-0.090770
32k,19-20,lora_base,0.490789,0.490789,0.000000
32k,19-22,lora_base,0.489604,0.489604,0.000000
32k,16-20,lora_base,0.471182,0.471182,0.000000
32k,19-15,lora_base,0.451810,0.451810,0.000000
32k,18-16,lora_base,0.442968,0.442968,0.000000
32k,21-5,lora_base,0.438318,0.438318,0.000000
32k,16-0,lora_base,0.403642,0.403642,0.000000
32k,19-18,lora_base,0.398715,0.398715,0.000000
32k,19-23,lora_base,0.397074,0.397074,0.000000
32k,19-6,lora_base,0.396088,0.396088,0.000000
32k,17-24,lora_base,0.378435,0.378435,0.000000
32k,19-17,lora_base,0.378329,0.378329,0.000000
32k,16-14,lora_base,0.365480,0.365480,0.000000
32k,18-10,lora_base,0.362858,0.362858,0.000000
32k,16-4,lora_base,0.356515,0.356515,0.000000
32k,20-26,lora_base,0.346833,0.346833,0.000000
32k,19-20,y2_base,0.490789,0.412528,-0.078261
32k,19-22,y2_base,0.489604,0.443683,-0.045920
32k,16-20,y2_base,0.471182,0.408382,-0.062801
32k,19-15,y2_base,0.451810,0.364291,-0.087519
32k,18-16,y2_base,0.442968,0.371179,-0.071789
32k,21-5,y2_base,0.438318,0.405580,-0.032739
32k,16-0,y2_base,0.403642,0.380941,-0.022701
32k,19-18,y2_base,0.398715,0.294714,-0.104001
32k,19-23,y2_base,0.397074,0.327059,-0.070015
32k,19-6,y2_base,0.396088,0.360364,-0.035724
32k,17-24,y2_base,0.378435,0.296018,-0.082417
32k,19-17,y2_base,0.378329,0.324282,-0.054047
32k,16-14,y2_base,0.365480,0.364352,-0.001128
32k,18-10,y2_base,0.362858,0.297554,-0.065304
32k,16-4,y2_base,0.356515,0.198228,-0.158287
32k,20-26,y2_base,0.346833,0.266691,-0.080142
32k,19-20,y2_rpe_cur_L16k,0.490789,0.484212,-0.006577
32k,19-22,y2_rpe_cur_L16k,0.489604,0.449475,-0.040129
32k,16-20,y2_rpe_cur_L16k,0.471182,0.420540,-0.050642
32k,19-15,y2_rpe_cur_L16k,0.451810,0.427674,-0.024136
32k,18-16,y2_rpe_cur_L16k,0.442968,0.397251,-0.045716
32k,21-5,y2_rpe_cur_L16k,0.438318,0.379237,-0.059081
32k,16-0,y2_rpe_cur_L16k,0.403642,0.368354,-0.035287
32k,19-18,y2_rpe_cur_L16k,0.398715,0.300721,-0.097994
32k,19-23,y2_rpe_cur_L16k,0.397074,0.410043,0.012968
32k,19-6,y2_rpe_cur_L16k,0.396088,0.375474,-0.020614
32k,17-24,y2_rpe_cur_L16k,0.378435,0.321872,-0.056564
32k,19-17,y2_rpe_cur_L16k,0.378329,0.338762,-0.039567
32k,16-14,y2_rpe_cur_L16k,0.365480,0.277266,-0.088213
32k,18-10,y2_rpe_cur_L16k,0.362858,0.364320,0.001463
32k,16-4,y2_rpe_cur_L16k,0.356515,0.183685,-0.172830
32k,20-26,y2_rpe_cur_L16k,0.346833,0.255391,-0.091442
64k,19-22,lora_base,0.460656,0.460656,0.000000
64k,19-20,lora_base,0.419864,0.419864,0.000000
64k,16-20,lora_base,0.390701,0.390701,0.000000
64k,16-0,lora_base,0.388691,0.388691,0.000000
64k,18-16,lora_base,0.376709,0.376709,0.000000
64k,19-6,lora_base,0.370743,0.370743,0.000000
64k,19-15,lora_base,0.368640,0.368640,0.000000
64k,19-23,lora_base,0.357782,0.357782,0.000000
64k,17-24,lora_base,0.342665,0.342665,0.000000
64k,19-18,lora_base,0.340723,0.340723,0.000000
64k,16-14,lora_base,0.337915,0.337915,0.000000
64k,13-16,lora_base,0.337151,0.337151,0.000000
64k,19-17,lora_base,0.324497,0.324497,0.000000
64k,18-10,lora_base,0.323907,0.323907,0.000000
64k,21-5,lora_base,0.320389,0.320389,0.000000
64k,21-4,lora_base,0.304533,0.304533,0.000000
64k,19-22,y2_base,0.460656,0.411512,-0.049144
64k,19-20,y2_base,0.419864,0.379485,-0.040379
64k,16-20,y2_base,0.390701,0.346206,-0.044495
64k,16-0,y2_base,0.388691,0.351168,-0.037523
64k,18-16,y2_base,0.376709,0.312291,-0.064418
64k,19-6,y2_base,0.370743,0.340619,-0.030124
64k,19-15,y2_base,0.368640,0.355342,-0.013298
