condition,bin,head,score,rank
y2_rpe_cur_L16k,16k,17-18,0.068958,185
y2_rpe_cur_L16k,16k,16-1,0.295800,16
y2_rpe_cur_L16k,16k,19-18,0.326352,12
y2_rpe_cur_L16k,16k,19-19,0.296506,15
y2_rpe_cur_L16k,16k,18-16,0.412223,4
y2_rpe_cur_L16k,16k,16-17,0.277253,19
y2_rpe_cur_L16k,16k,19-25,0.248383,28
y2_rpe_cur_L16k,16k,19-17,0.262062,24
y2_rpe_cur_L16k,16k,20-21,0.262532,23
y2_rpe_cur_L16k,32k,16-19,0.087009,141
y2_rpe_cur_L16k,32k,16-2,0.107862,115
y2_rpe_cur_L16k,32k,16-20,0.420540,4
y2_rpe_cur_L16k,32k,16-14,0.277266,23
y2_rpe_cur_L16k,32k,16-0,0.368354,9
y2_rpe_cur_L16k,32k,15-24,0.124686,92
y2_rpe_cur_L16k,32k,16-18,0.134782,91
y2_rpe_cur_L16k,32k,17-18,0.095506,133
y2_rpe_cur_L16k,32k,16-1,0.286717,19
y2_rpe_cur_L16k,32k,19-18,0.300721,16
y2_rpe_cur_L16k,32k,19-19,0.279883,21
y2_rpe_cur_L16k,32k,18-16,0.397251,6
y2_rpe_cur_L16k,32k,16-17,0.278407,22
y2_rpe_cur_L16k,32k,19-25,0.218923,37
y2_rpe_cur_L16k,32k,19-17,0.338762,12
y2_rpe_cur_L16k,32k,20-21,0.294359,17
y2_rpe_cur_L16k,64k,16-19,0.054506,150
y2_rpe_cur_L16k,64k,16-2,0.084454,107
y2_rpe_cur_L16k,64k,16-20,0.358185,4
y2_rpe_cur_L16k,64k,16-14,0.253947,15
y2_rpe_cur_L16k,64k,16-0,0.352977,5
y2_rpe_cur_L16k,64k,15-24,0.103087,85
y2_rpe_cur_L16k,64k,16-18,0.093632,95
y2_rpe_cur_L16k,64k,17-18,0.081317,113
y2_rpe_cur_L16k,64k,16-1,0.237157,17
y2_rpe_cur_L16k,64k,19-18,0.214113,24
y2_rpe_cur_L16k,64k,19-19,0.212185,25
y2_rpe_cur_L16k,64k,18-16,0.311042,9
y2_rpe_cur_L16k,64k,16-17,0.233722,19
y2_rpe_cur_L16k,64k,19-25,0.163132,42
y2_rpe_cur_L16k,64k,19-17,0.316960,8
y2_rpe_cur_L16k,64k,20-21,0.230264,21
y2_rpe_cur_L16k,128k,16-19,0.019877,186
y2_rpe_cur_L16k,128k,16-2,0.049278,103
y2_rpe_cur_L16k,128k,16-20,0.196798,9
y2_rpe_cur_L16k,128k,16-14,0.171634,17
y2_rpe_cur_L16k,128k,16-0,0.210989,8
y2_rpe_cur_L16k,128k,15-24,0.078817,66
y2_rpe_cur_L16k,128k,16-18,0.037955,124
y2_rpe_cur_L16k,128k,17-18,0.025483,164
y2_rpe_cur_L16k,128k,16-1,0.137830,28
y2_rpe_cur_L16k,128k,19-18,0.181570,14
y2_rpe_cur_L16k,128k,19-19,0.171933,16
y2_rpe_cur_L16k,128k,18-16,0.151649,21
y2_rpe_cur_L16k,128k,16-17,0.103119,50
y2_rpe_cur_L16k,128k,19-25,0.144345,22
y2_rpe_cur_L16k,128k,19-17,0.295263,5
y2_rpe_cur_L16k,128k,20-21,0.161974,19
