k,bin,condition,n,n_correct,mean_sig,mean_sig_correct,mean_sig_wrong,r_pointbiserial,p_pointbiserial,r_spearman
16,16k,y2_rpe_cur_L16k,60,48,5.8228,5.7016,6.3080,-0.2210,8.9705e-02,-0.2189
16,32k,lora_base,60,37,6.5686,6.5696,6.5671,0.0010,9.9375e-01,-0.0109
16,32k,y2_base,60,34,5.6870,5.7334,5.6263,0.0495,7.0724e-01,0.0117
16,32k,y2_rpe_cur_L16k,60,50,6.0005,5.9625,6.1903,-0.0819,5.3387e-01,-0.0826
16,64k,lora_base,60,28,5.7656,5.6955,5.8269,-0.0730,5.7941e-01,-0.1080
16,64k,y2_base,60,28,5.1555,5.0283,5.2667,-0.1170,3.7350e-01,-0.1235
16,64k,y2_rpe_cur_L16k,60,39,5.1014,4.9211,5.4362,-0.2766,3.2409e-02,-0.2492
16,128k,lora_base,60,21,4.4384,4.4205,4.4481,-0.0101,9.3874e-01,0.0595
16,128k,y2_base,60,23,3.6837,3.5539,3.7644,-0.0864,5.1148e-01,-0.1138
16,128k,y2_rpe_cur_L16k,60,39,3.9030,3.8248,4.0483,-0.0886,5.0105e-01,-0.1019
32,0k,lora_base,60,53,11.8770,11.7991,12.4669,-0.1631,2.1303e-01,-0.1844
32,0k,y2_base,60,45,11.7406,11.7204,11.8012,-0.0278,8.3284e-01,-0.0967
32,0k,y2_rpe_cur_L16k,60,46,10.8741,10.8041,11.1040,-0.1531,2.4277e-01,-0.1479
32,1k,lora_base,56,52,2.7389,2.6163,4.3317,-0.1716,2.0604e-01,0.0172
32,1k,y2_base,56,50,2.8923,2.7253,4.2832,-0.1755,1.9564e-01,-0.1107
32,1k,y2_rpe_cur_L16k,56,49,2.7658,2.5941,3.9677,-0.1849,1.7256e-01,-0.1420
32,2k,lora_base,60,51,11.7521,11.6250,12.4727,-0.1830,1.6154e-01,-0.2682
32,2k,y2_base,60,50,11.8392,11.6851,12.6095,-0.2374,6.7750e-02,-0.2092
32,2k,y2_rpe_cur_L16k,60,53,11.2027,11.2030,11.2004,0.0006,9.9627e-01,0.0135
32,4k,lora_base,60,53,11.3285,11.3189,11.4013,-0.0160,9.0370e-01,-0.0645
32,4k,y2_base,60,45,10.9559,10.8067,11.4037,-0.1412,2.8175e-01,-0.1389
32,4k,y2_rpe_cur_L16k,60,52,10.9362,11.0527,10.1790,0.2002,1.2504e-01,0.2123
32,8k,lora_base,60,47,11.6969,11.5170,12.3472,-0.1799,1.6910e-01,-0.1717
32,8k,y2_base,60,45,10.6149,10.5304,10.8682,-0.0815,5.3570e-01,-0.0300
32,8k,y2_rpe_cur_L16k,60,51,10.8246,10.6689,11.7074,-0.2089,1.0918e-01,-0.2601
